ID,floatWear,formattedPrice,item,source,rarity,timestamp
0,0.61832696199417,0.62,Dual-Berettas Flora Carnivora,SCM,Restricted,2023-05-07 23:49:13
1,0.68124717473984,0.62,Dual-Berettas Flora Carnivora,SCM,Restricted,2023-05-07 23:49:13
2,0.75699889659882,0.62,Dual-Berettas Flora Carnivora,SCM,Restricted,2023-05-07 23:49:13
3,0.7652713060379,0.62,Dual-Berettas Flora Carnivora,SCM,Restricted,2023-05-07 23:49:13
4,0.79470908641815,0.62,Dual-Berettas Flora Carnivora,SCM,Restricted,2023-05-07 23:49:13
5,0.8032773733139,0.62,Dual-Berettas Flora Carnivora,SCM,Restricted,2023-05-07 23:49:13
6,0.9002742767334,0.62,Dual-Berettas Flora Carnivora,SCM,Restricted,2023-05-07 23:49:13
7,0.95276606082916,0.62,Dual-Berettas Flora Carnivora,SCM,Restricted,2023-05-07 23:49:13
8,0.45359593629837,0.63,Dual-Berettas Flora Carnivora,SCM,Restricted,2023-05-07 23:49:13
9,0.4632633626461,0.63,Dual-Berettas Flora Carnivora,SCM,Restricted,2023-05-07 23:49:13
10,0.50416857004166,0.63,Dual-Berettas Flora Carnivora,SCM,Restricted,2023-05-07 23:49:13
11,0.50743097066879,0.63,Dual-Berettas Flora Carnivora,SCM,Restricted,2023-05-07 23:49:13
12,0.51964205503464,0.63,Dual-Berettas Flora Carnivora,SCM,Restricted,2023-05-07 23:49:13
13,0.54230326414108,0.63,Dual-Berettas Flora Carnivora,SCM,Restricted,2023-05-07 23:49:13
14,0.57212150096893,0.63,Dual-Berettas Flora Carnivora,SCM,Restricted,2023-05-07 23:49:13
15,0.57270187139511,0.63,Dual-Berettas Flora Carnivora,SCM,Restricted,2023-05-07 23:49:13
16,0.66113948822021,0.63,Dual-Berettas Flora Carnivora,SCM,Restricted,2023-05-07 23:49:13
17,0.58037847280502,0.64,Dual-Berettas Flora Carnivora,SCM,Restricted,2023-05-07 23:49:13
18,0.45575085282326,0.65,Dual-Berettas Flora Carnivora,SCM,Restricted,2023-05-07 23:49:13
19,0.47647953033447,0.65,Dual-Berettas Flora Carnivora,SCM,Restricted,2023-05-07 23:49:13
20,0.49549046158791,0.65,Dual-Berettas Flora Carnivora,SCM,Restricted,2023-05-07 23:49:13
21,0.49740868806839,0.65,Dual-Berettas Flora Carnivora,SCM,Restricted,2023-05-07 23:49:13
22,0.38131994009018,0.66,Dual-Berettas Flora Carnivora,SCM,Restricted,2023-05-07 23:44:45
23,0.46470519900322,0.66,Dual-Berettas Flora Carnivora,SCM,Restricted,2023-05-07 23:49:13
24,0.4256696999073,0.67,Dual-Berettas Flora Carnivora,SCM,Restricted,2023-05-07 23:44:45
25,0.42562901973724,0.7,Dual-Berettas Flora Carnivora,SCM,Restricted,2023-05-07 23:44:45
26,0.4119590818882,0.71,Dual-Berettas Flora Carnivora,SCM,Restricted,2023-05-07 23:44:45
27,0.39150413870811,0.73,Dual-Berettas Flora Carnivora,SCM,Restricted,2023-05-07 23:44:45
28,0.39516907930374,0.73,Dual-Berettas Flora Carnivora,SCM,Restricted,2023-05-07 23:44:45
29,0.39537221193314,0.73,Dual-Berettas Flora Carnivora,SCM,Restricted,2023-05-07 23:44:45
30,0.39657071232796,0.73,Dual-Berettas Flora Carnivora,SCM,Restricted,2023-05-07 23:44:45
31,0.39703133702278,0.73,Dual-Berettas Flora Carnivora,SCM,Restricted,2023-05-07 23:44:45
32,0.39853757619858,0.73,Dual-Berettas Flora Carnivora,SCM,Restricted,2023-05-07 23:44:45
33,0.40004086494446,0.73,Dual-Berettas Flora Carnivora,SCM,Restricted,2023-05-07 23:44:45
34,0.40136316418648,0.73,Dual-Berettas Flora Carnivora,SCM,Restricted,2023-05-07 23:44:45
35,0.40312203764915,0.73,Dual-Berettas Flora Carnivora,SCM,Restricted,2023-05-07 23:44:45
36,0.39472270011902,0.74,Dual-Berettas Flora Carnivora,SCM,Restricted,2023-05-07 23:44:45
37,0.389125674963,0.75,Dual-Berettas Flora Carnivora,SCM,Restricted,2023-05-07 23:44:45
38,0.39159521460533,0.77,Dual-Berettas Flora Carnivora,SCM,Restricted,2023-05-07 23:44:45
39,0.3966937661171,0.77,Dual-Berettas Flora Carnivora,SCM,Restricted,2023-05-07 23:44:45
40,0.24623310565948,0.87,R8-Revolver Crazy 8,SCM,Restricted,2023-05-07 23:50:34
41,0.25169506669044,0.87,R8-Revolver Crazy 8,SCM,Restricted,2023-05-07 23:50:34
42,0.26097524166107,0.87,R8-Revolver Crazy 8,SCM,Restricted,2023-05-07 23:50:34
43,0.26263356208801,0.87,R8-Revolver Crazy 8,SCM,Restricted,2023-05-07 23:50:34
44,0.26295635104179,0.87,R8-Revolver Crazy 8,SCM,Restricted,2023-05-07 23:50:34
45,0.2672598361969,0.87,R8-Revolver Crazy 8,SCM,Restricted,2023-05-07 23:50:34
46,0.2696573138237,0.87,R8-Revolver Crazy 8,SCM,Restricted,2023-05-07 23:50:34
47,0.27644032239914,0.87,R8-Revolver Crazy 8,SCM,Restricted,2023-05-07 23:50:34
48,0.28084293007851,0.87,R8-Revolver Crazy 8,SCM,Restricted,2023-05-07 23:50:34
49,0.28935834765434,0.87,R8-Revolver Crazy 8,SCM,Restricted,2023-05-07 23:50:34
50,0.23903724551201,0.88,R8-Revolver Crazy 8,SCM,Restricted,2023-05-07 23:50:34
51,0.24313896894455,0.88,R8-Revolver Crazy 8,SCM,Restricted,2023-05-07 23:50:34
52,0.24334309995174,0.88,R8-Revolver Crazy 8,SCM,Restricted,2023-05-07 23:50:34
53,0.26656955480576,0.88,R8-Revolver Crazy 8,SCM,Restricted,2023-05-07 23:50:34
54,0.2248513251543,0.89,R8-Revolver Crazy 8,SCM,Restricted,2023-05-07 23:50:34
55,0.25848680734634,0.9,R8-Revolver Crazy 8,SCM,Restricted,2023-05-07 23:50:34
56,0.20881049335003,0.95,R8-Revolver Crazy 8,SCM,Restricted,2023-05-07 23:50:34
57,0.2374714910984,0.95,R8-Revolver Crazy 8,SCM,Restricted,2023-05-07 23:50:34
58,0.2441253811121,0.95,R8-Revolver Crazy 8,SCM,Restricted,2023-05-07 23:50:34
59,0.24344789981842,0.97,Dual-Berettas Flora Carnivora,SCM,Restricted,2023-05-12 19:08:55
60,0.243646889925,0.98,Dual-Berettas Flora Carnivora,SCM,Restricted,2023-05-12 19:08:55
61,0.24518868327141,0.98,Dual-Berettas Flora Carnivora,SCM,Restricted,2023-05-12 19:08:55
62,0.24298173189163,0.99,Dual-Berettas Flora Carnivora,SCM,Restricted,2023-05-12 19:08:55
63,0.11202785372734,1.59,R8-Revolver Crazy 8,SCM,Restricted,2023-05-07 23:50:09
64,0.14540511369705,1.59,R8-Revolver Crazy 8,SCM,Restricted,2023-05-07 23:50:09
65,0.14996999502182,1.61,R8-Revolver Crazy 8,SCM,Restricted,2023-05-07 23:50:09
66,0.14997544884682,1.61,R8-Revolver Crazy 8,SCM,Restricted,2023-05-07 23:50:09
67,0.14998818933964,1.61,R8-Revolver Crazy 8,SCM,Restricted,2023-05-07 23:50:09
68,0.12775042653084,1.64,R8-Revolver Crazy 8,SCM,Restricted,2023-05-07 23:50:09
69,0.13874331116676,1.64,R8-Revolver Crazy 8,SCM,Restricted,2023-05-07 23:50:09
70,0.12595647573471,1.65,R8-Revolver Crazy 8,SCM,Restricted,2023-05-07 23:50:09
71,0.13412621617317,1.65,R8-Revolver Crazy 8,SCM,Restricted,2023-05-07 23:50:09
72,0.13445383310318,1.65,R8-Revolver Crazy 8,SCM,Restricted,2023-05-07 23:50:09
73,0.13641259074211,1.65,R8-Revolver Crazy 8,SCM,Restricted,2023-05-07 23:50:09
74,0.13685664534569,1.65,R8-Revolver Crazy 8,SCM,Restricted,2023-05-07 23:50:09
